eval_index,frame_original_index,mask_original_index,pred_path,gt_path,mask_path,pred_name,gt_name,mask_name,pred_stem,gt_stem,mask_stem,pred_orig_size,gt_orig_size,mask_orig_size,pred_gt_same_name,gt_mask_same_name,mask_ratio,hole_pixels,PSNR_all,PSNR_hole,SSIM_all,SSIM_hole,PSNR_nomask,SSIM_nomask,LPIPS,nonmask_dil30_ratio,PSNR_nonmask_dil30,SSIM_nonmask_dil30,hole_psnr_gt_all,jump_image,jump_mask,gt_original_index,aligned_pair
30,30,30,results/B_mask_20_30_reliability_inference/line_debug/0007_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00060.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000185.png,0007_reliability.png,00060.jpg,0000185.png,0007_reliability,00060,0000185,"[256, 256]","[256, 256]","[256, 256]",False,False,0.296478271484375,19430,4.298126319789545,3.7279685156435463,0.011958315037190914,0.010413388721644878,4.562791216627394,0.013290241360664368,0.8193798065185547,0.400146484375,4.5076985364852895,0.011635310016572475,False,0,0,30,pred[30] <-> gt[30] <-> mask[30]
31,31,31,results/B_mask_20_30_reliability_inference/line_debug/0007_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00062.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000209.png,0007_soft.png,00062.jpg,0000209.png,0007_soft,00062,0000209,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2394256591796875,15691,4.162543345910742,3.122618057657827,0.012976318597793579,0.012976318597793579,4.549133622715118,0.015326889231801033,0.7746428847312927,0.2568359375,3.12176171329994,0.012976318597793579,False,0,0,31,pred[31] <-> gt[31] <-> mask[31]
32,32,32,results/B_mask_20_30_reliability_inference/frames/0008.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00064.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000214.png,0008.png,00064.jpg,0000214.png,0008,00064,0000214,"[256, 256]","[256, 256]","[256, 256]",False,False,0.277618408203125,18194,10.328911304651282,9.743706552336567,0.367510586977005,0.38753995299339294,10.576598534641823,0.3009699881076813,0.6392614245414734,0.2480926513671875,10.329151133217717,0.383383184671402,False,0,0,32,pred[32] <-> gt[32] <-> mask[32]
33,33,33,results/B_mask_20_30_reliability_inference/line_debug/0008_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00066.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000221.png,0008_center.png,00066.jpg,0000221.png,0008_center,00066,0000221,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2174835205078125,14253,4.992827889898653,3.2139051581527553,0.014636247418820858,0.0022442403715103865,5.651362437427579,0.017470669001340866,0.7697780132293701,0.224365234375,3.703887083008498,0.006984924431890249,False,0,0,33,pred[33] <-> gt[33] <-> mask[33]
34,34,34,results/B_mask_20_30_reliability_inference/line_debug/0008_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00068.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000225.png,0008_reliability.png,00068.jpg,0000225.png,0008_reliability,00068,0000225,"[256, 256]","[256, 256]","[256, 256]",False,False,0.281707763671875,18462,5.560912270573293,6.783409565543387,0.02486136555671692,0.024792803451418877,5.161931547309022,0.02067602425813675,0.761316180229187,0.2972259521484375,6.125168461021394,0.02451462484896183,True,0,0,34,pred[34] <-> gt[34] <-> mask[34]
35,35,35,results/B_mask_20_30_reliability_inference/line_debug/0008_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00070.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000229.png,0008_soft.png,00070.jpg,0000229.png,0008_soft,00070,0000229,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2266387939453125,14853,5.495310580183997,4.232984508737492,0.026567116379737854,0.026495197787880898,5.947347284765112,0.02759503573179245,0.767281711101532,0.371368408203125,4.82202380309268,0.02660249173641205,False,0,0,35,pred[35] <-> gt[35] <-> mask[35]
36,36,36,results/B_mask_20_30_reliability_inference/frames/0009.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00072.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000250.png,0009.png,00072.jpg,0000250.png,0009,00072,0000250,"[256, 256]","[256, 256]","[256, 256]",False,False,0.217926025390625,14282,7.593863215571661,8.751642467470884,0.22219718992710114,0.20042534172534943,7.319519661696683,0.21836115419864655,0.7704129219055176,0.2225494384765625,10.02311473505953,0.20619964599609375,True,0,0,36,pred[36] <-> gt[36] <-> mask[36]
37,37,37,results/B_mask_20_30_reliability_inference/line_debug/0009_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00074.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000252.png,0009_center.png,00074.jpg,0000252.png,0009_center,00074,0000252,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2646484375,17344,5.388032743879476,5.760930953972938,0.01617291569709778,0.01748712919652462,5.261296744144325,0.013675160706043243,0.7950130701065063,0.2658233642578125,4.952375634948338,0.01612175442278385,True,0,0,37,pred[37] <-> gt[37] <-> mask[37]
38,38,38,results/B_mask_20_30_reliability_inference/line_debug/0009_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00076.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000256.png,0009_reliability.png,00076.jpg,0000256.png,0009_reliability,00076,0000256,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2706298828125,17736,6.029884176459647,6.261099269177988,0.032747313380241394,0.033192284405231476,5.947129921497098,0.03476666286587715,0.7856817245483398,0.2601165771484375,5.268771749453764,0.032260049134492874,True,0,0,38,pred[38] <-> gt[38] <-> mask[38]
39,39,39,results/B_mask_20_30_reliability_inference/line_debug/0009_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00078.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000262.png,0009_soft.png,00078.jpg,0000262.png,0009_soft,00078,0000262,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2174530029296875,14251,6.260476526797777,4.508415203968308,0.036696020513772964,0.03992486000061035,6.905860867751495,0.042782362550497055,0.7751588821411133,0.2366180419921875,7.303482437267235,0.03672533854842186,False,0,0,39,pred[39] <-> gt[39] <-> mask[39]
